Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Trade_Type,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
ES,Fast,2015-01-05 15:45:00,2015-01-07 14:55:00,2389.0,2389.5,1.0,25.0,25.0,0.0003333333333333333,0.0003333333333333333,0.0,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,Long,1650.0,-325.0,0.8481000000000001
ES,Fast,2015-01-12 15:45:00,2015-01-16 15:45:00,2395.25,2385.25,1.0,-500.0,-475.0,-0.006666666666666667,-0.006333333333333333,-0.006666666666666667,96.0,LE2.Fast.C,LX2.Fast.C,Long,2662.5,-1412.5,0.5307
ES,Fast,2015-01-28 15:45:00,2015-01-29 14:55:00,2365.0,2386.75,1.0,1087.5,612.5,0.0145,0.008166666666666666,0.0,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,Long,562.5,-1275.0,0.898
ES,Fast,2015-01-30 15:45:00,2015-02-02 14:55:00,2360.5,2383.75,1.0,1162.5,1775.0,0.0155,0.023666666666666666,0.0,71.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,Long,750.0,-1337.5,0.9162
ES,Fast,2015-03-10 15:45:00,2015-03-12 14:55:00,2415.0,2437.5,1.0,1125.0,2900.0,0.015,0.03866666666666667,0.0,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,Long,250.0,-1162.5,0.9734999999999999
ES,Fast,2015-03-23 15:45:00,2015-03-27 15:45:00,2474.25,2431.0,1.0,-2162.5,737.5,-0.028833333333333332,0.009833333333333333,-0.028833333333333332,96.0,LE2.Fast.C,LX2.Fast.C,Long,3087.5,-300.0,0.2731
ES,Fast,2015-03-31 15:45:00,2015-04-02 14:55:00,2438.25,2440.75,1.0,125.0,862.5,0.0016666666666666668,0.0115,-0.027166666666666665,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,Long,1275.0,-287.5,0.8959999999999999
ES,Fast,2015-04-21 15:45:00,2015-04-22 15:45:00,2471.0,2478.25,1.0,362.5,1225.0,0.004833333333333334,0.01633333333333333,-0.022333333333333334,24.0,LE2.Fast.C,LX2.Fast.C,Long,575.0,-600.0,0.7979
ES,Fast,2015-04-30 15:45:00,2015-05-01 15:45:00,2461.5,2480.25,1.0,937.5,2162.5,0.0125,0.028833333333333332,-0.009833333333333333,24.0,LE1.Fast.C,LX1.Fast.C,Long,87.5,-1012.5,0.9318000000000001
ES,Fast,2015-05-05 15:45:00,2015-05-07 15:45:00,2464.75,2463.0,1.0,-87.5,2075.0,-0.0011666666666666668,0.027666666666666666,-0.011,48.0,LE2.Fast.C,LX2.Fast.C,Long,1425.0,-412.5,0.7279000000000001
ES,Fast,2015-05-11 15:45:00,2015-05-12 15:45:00,2475.75,2474.5,1.0,-62.5,2012.5,-0.0008333333333333334,0.026833333333333334,-0.011833333333333333,24.0,LE2.Fast.C,LX2.Fast.C,Long,862.5,-225.0,0.7356
ES,Fast,2015-05-13 15:45:00,2015-05-14 14:55:00,2475.0,2495.5,1.0,1025.0,3037.5,0.013666666666666667,0.0405,0.0,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,Long,187.5,-1087.5,0.951
ES,Fast,2015-06-08 15:45:00,2015-06-09 15:45:00,2458.0,2460.0,1.0,100.0,3137.5,0.0013333333333333333,0.041833333333333333,0.0,24.0,LE2.Fast.C,LX2.Fast.C,Long,500.0,-300.0,0.75
