Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Trade_Type,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
ES,Slow,2015-01-05 15:35:00,2015-01-08 15:35:00,2388.25,2426.0,1.0,1887.5,1887.5,0.025166666666666667,0.025166666666666667,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,1612.5,-2100.0,0.9428
ES,Slow,2015-01-12 15:20:00,2015-01-16 15:35:00,2394.25,2384.75,1.0,-475.0,1412.5,-0.006333333333333333,0.018833333333333334,-0.006333333333333333,96.25,LE.Slow.C,LX1.Slow.C,Long,2612.5,-1462.5,0.5245000000000001
ES,Slow,2015-01-28 15:35:00,2015-01-29 15:35:00,2364.25,2390.0,1.0,1287.5,2700.0,0.017166666666666667,0.036,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,525.0,-1350.0,0.9667
ES,Slow,2015-03-10 15:35:00,2015-03-12 15:35:00,2414.25,2435.75,1.0,1075.0,3775.0,0.014333333333333333,0.050333333333333334,0.0,48.0,LE.Slow.C,LX1.Slow.C,Long,212.5,-1200.0,0.9115000000000001
ES,Slow,2015-03-23 15:20:00,2015-03-30 15:35:00,2474.5,2455.5,1.0,-950.0,2825.0,-0.012666666666666666,0.03766666666666667,-0.012666666666666666,168.25,LE.Slow.C,LX1.Slow.C,Long,3100.0,-287.5,0.6347
ES,Slow,2015-04-21 15:35:00,2015-04-22 15:35:00,2470.75,2479.5,1.0,437.5,3262.5,0.005833333333333334,0.0435,-0.006833333333333334,24.0,LE.Slow.C,LX1.Slow.C,Long,562.5,-612.5,0.8511
ES,Slow,2015-04-30 15:35:00,2015-05-01 15:35:00,2461.5,2481.25,1.0,987.5,4250.0,0.013166666666666667,0.056666666666666664,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,87.5,-1012.5,0.9773000000000001
ES,Slow,2015-05-05 15:35:00,2015-05-08 15:20:00,2463.75,2487.5,1.0,1187.5,5437.5,0.015833333333333335,0.0725,0.0,71.75,LE.Slow.C,LX1.Slow.C,Long,1375.0,-1450.0,0.9070999999999999
ES,Slow,2015-05-11 15:20:00,2015-05-12 15:35:00,2477.0,2475.0,1.0,-100.0,5337.5,-0.0013333333333333333,0.07116666666666667,-0.0013333333333333333,24.25,LE.Slow.C,LX1.Slow.C,Long,925.0,-162.5,0.7585999999999999
ES,Slow,2015-05-13 15:35:00,2015-05-14 15:35:00,2474.25,2496.25,1.0,1100.0,6437.5,0.014666666666666666,0.08583333333333333,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,150.0,-1162.5,0.9523999999999999
ES,Slow,2015-06-08 15:35:00,2015-06-10 15:35:00,2458.25,2485.25,1.0,1350.0,7787.5,0.018,0.10383333333333333,0.0,48.0,LE.Slow.C,LX1.Slow.C,Long,512.5,-1450.0,0.9490000000000001
