Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Trade_Type,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
MES,Fast,2015-01-05 15:50:00,2015-01-07 15:00:00,2388.5,2388.75,1.0,1.25,1.25,0.00016666666666666666,0.00016666666666666666,0.0,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,Long,166.25,-31.25,0.8481000000000001
MES,Fast,2015-01-12 15:50:00,2015-01-16 15:50:00,2394.5,2384.5,1.0,-50.0,-48.75,-0.006666666666666667,-0.0065,-0.006666666666666667,96.0,LE2.Fast.C,LX2.Fast.C,Long,266.25,-141.25,0.5307
MES,Fast,2015-01-28 15:50:00,2015-01-29 15:00:00,2364.5,2385.75,1.0,106.25,57.5,0.014166666666666666,0.007666666666666666,0.0,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,Long,57.5,-126.25,0.8912
MES,Fast,2015-01-30 15:50:00,2015-02-02 15:00:00,2359.75,2383.0,1.0,116.25,173.75,0.0155,0.023166666666666665,0.0,71.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,Long,75.0,-133.75,0.9162
MES,Fast,2015-03-10 15:50:00,2015-03-12 15:00:00,2414.25,2436.5,1.0,111.25,285.0,0.014833333333333334,0.038,0.0,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,Long,25.0,-116.25,0.9645999999999999
MES,Fast,2015-03-23 15:50:00,2015-03-27 15:50:00,2473.5,2430.25,1.0,-216.25,68.75,-0.028833333333333332,0.009166666666666667,-0.028833333333333332,96.0,LE2.Fast.C,LX2.Fast.C,Long,308.75,-30.0,0.2731
MES,Fast,2015-03-31 15:50:00,2015-04-02 15:00:00,2437.25,2439.75,1.0,12.5,81.25,0.0016666666666666668,0.010833333333333334,-0.027166666666666665,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,Long,126.25,-30.0,0.888
MES,Fast,2015-04-21 15:50:00,2015-04-22 15:50:00,2470.25,2477.5,1.0,36.25,117.5,0.004833333333333334,0.015666666666666666,-0.022333333333333334,24.0,LE2.Fast.C,LX2.Fast.C,Long,57.5,-60.0,0.7979
MES,Fast,2015-04-30 15:50:00,2015-05-01 15:50:00,2461.0,2479.5,1.0,92.5,210.0,0.012333333333333333,0.028,-0.01,24.0,LE1.Fast.C,LX1.Fast.C,Long,10.0,-100.0,0.9318000000000001
MES,Fast,2015-05-05 15:50:00,2015-05-07 15:50:00,2464.0,2462.25,1.0,-8.75,201.25,-0.0011666666666666668,0.026833333333333334,-0.011166666666666667,48.0,LE2.Fast.C,LX2.Fast.C,Long,142.5,-41.25,0.7279000000000001
MES,Fast,2015-05-11 15:50:00,2015-05-12 15:50:00,2474.75,2473.75,1.0,-5.0,196.25,-0.0006666666666666666,0.026166666666666668,-0.011833333333333333,24.0,LE2.Fast.C,LX2.Fast.C,Long,85.0,-23.75,0.7356
MES,Fast,2015-05-13 15:50:00,2015-05-14 15:00:00,2474.0,2494.75,1.0,103.75,300.0,0.013833333333333333,0.04,0.0,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,Long,17.5,-110.0,0.951
MES,Fast,2015-06-08 15:50:00,2015-06-09 15:50:00,2457.25,2459.5,1.0,11.25,311.25,0.0015,0.0415,0.0,24.0,LE2.Fast.C,LX2.Fast.C,Long,50.0,-30.0,0.7656000000000001
MES,Fast,2015-06-12 15:50:00,2015-06-16 15:00:00,2471.0,2473.25,1.0,11.25,322.5,0.0015,0.043,0.0,95.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,Long,113.75,-20.0,0.9346
MES,Fast,2015-06-22 15:50:00,2015-06-23 15:50:00,2501.25,2503.75,1.0,12.5,335.0,0.0016666666666666668,0.04466666666666667,0.0,24.0,LE2.Fast.C,LX2.Fast.C,Long,18.75,-27.5,0.6757
MES,Fast,2015-06-24 15:50:00,2015-07-01 15:50:00,2487.0,2457.75,1.0,-146.25,188.75,-0.0195,0.025166666666666667,-0.0195,168.0,LE2.Fast.C,LX2.Fast.C,Long,270.0,-60.0,0.375
