Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Trade_Type,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
MES,Slow,2015-01-02 15:35:00,2015-01-08 15:35:00,2470.5,2477.5,1.0,35.0,35.0,0.004666666666666667,0.004666666666666667,0.0,144.0,LE.Slow.C,LX1.Slow.C,Long,315.0,-56.25,0.9428
MES,Slow,2015-01-12 15:20:00,2015-01-13 15:20:00,2445.75,2439.25,1.0,-32.5,2.5,-0.004333333333333333,0.0003333333333333333,-0.004333333333333333,24.0,LE.Slow.C,LX.V140.Slow.C,Long,107.5,-146.25,0.2956
MES,Slow,2015-01-14 15:35:00,2015-01-16 15:35:00,2431.5,2436.25,1.0,23.75,26.25,0.0031666666666666666,0.0035,-0.0011666666666666668,48.0,LE.Slow.C,LX1.Slow.C,Long,190.0,-95.0,0.75
MES,Slow,2015-03-10 15:35:00,2015-03-12 15:35:00,2465.75,2487.25,1.0,107.5,133.75,0.014333333333333333,0.017833333333333333,0.0,48.0,LE.Slow.C,LX1.Slow.C,Long,21.25,-120.0,0.9115000000000001
MES,Slow,2015-03-23 15:20:00,2015-03-30 15:35:00,2526.0,2507.0,1.0,-95.0,38.75,-0.012666666666666666,0.005166666666666667,-0.012666666666666666,168.25,LE.Slow.C,LX1.Slow.C,Long,310.0,-28.75,0.6347
MES,Slow,2015-04-21 15:35:00,2015-04-22 15:35:00,2522.25,2531.0,1.0,43.75,82.5,0.005833333333333334,0.011,-0.006833333333333334,24.0,LE.Slow.C,LX1.Slow.C,Long,56.25,-61.25,0.8511
MES,Slow,2015-04-30 15:35:00,2015-05-01 15:35:00,2513.0,2532.75,1.0,98.75,181.25,0.013166666666666667,0.024166666666666666,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,8.75,-101.25,0.9773000000000001
MES,Slow,2015-05-05 15:35:00,2015-05-08 15:20:00,2515.25,2539.0,1.0,118.75,300.0,0.015833333333333335,0.04,0.0,71.75,LE.Slow.C,LX1.Slow.C,Long,137.5,-145.0,0.9070999999999999
MES,Slow,2015-05-11 15:20:00,2015-05-12 15:35:00,2528.5,2526.5,1.0,-10.0,290.0,-0.0013333333333333333,0.03866666666666667,-0.0013333333333333333,24.25,LE.Slow.C,LX1.Slow.C,Long,92.5,-16.25,0.7585999999999999
MES,Slow,2015-05-13 15:35:00,2015-05-14 15:35:00,2525.75,2547.75,1.0,110.0,400.0,0.014666666666666666,0.05333333333333334,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,15.0,-116.25,0.9523999999999999
MES,Slow,2015-06-08 15:35:00,2015-06-10 15:35:00,2509.75,2536.75,1.0,135.0,535.0,0.018,0.07133333333333333,0.0,48.0,LE.Slow.C,LX1.Slow.C,Long,51.25,-145.0,0.9490000000000001
MES,Slow,2015-06-15 15:35:00,2015-06-17 15:35:00,2513.5,2527.25,1.0,68.75,603.75,0.009166666666666667,0.0805,0.0,48.0,LE.Slow.C,LX1.Slow.C,Long,65.0,-118.75,0.7279000000000001
MES,Slow,2015-06-19 15:35:00,2015-06-22 15:35:00,2536.25,2551.75,1.0,77.5,681.25,0.010333333333333333,0.09083333333333334,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,2.5,-121.25,0.6465000000000001
MES,Slow,2015-06-24 15:35:00,2015-06-29 15:20:00,2538.0,2489.75,1.0,-241.25,440.0,-0.03216666666666667,0.058666666666666666,-0.03216666666666667,119.75,LE.Slow.C,LX.V140.Slow.C,Long,261.25,-66.25,0.0611
MES,Slow,2015-07-09 15:35:00,2015-07-10 15:35:00,2479.0,2508.25,1.0,146.25,586.25,0.0195,0.07816666666666666,-0.012666666666666666,24.0,LE.Slow.C,LX1.Slow.C,Long,11.25,-171.25,0.863
MES,Slow,2015-07-24 15:35:00,2015-07-28 15:35:00,2516.5,2526.25,1.0,48.75,635.0,0.0065,0.08466666666666667,-0.006166666666666667,96.0,LE.Slow.C,LX1.Slow.C,Long,107.5,-55.0,0.9615
MES,Slow,2015-08-04 15:30:00,2015-08-10 15:35:00,2521.75,2537.75,1.0,80.0,715.0,0.010666666666666666,0.09533333333333334,0.0,144.08333333333334,LE.Slow.C,LX1.Slow.C,Long,106.25,-118.75,0.8278
MES,Slow,2015-09-29 15:35:00,2015-09-30 15:35:00,2322.5,2351.25,1.0,143.75,858.75,0.019166666666666665,0.1145,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,17.5,-178.75,0.8217
MES,Slow,2015-10-14 15:20:00,2015-10-15 15:35:00,2432.0,2466.5,1.0,172.5,1031.25,0.023,0.1375,0.0,24.25,LE.Slow.C,LX1.Slow.C,Long,0.0,-176.25,0.9787
MES,Slow,2015-10-21 15:35:00,2015-10-22 15:35:00,2456.5,2499.5,1.0,215.0,1246.25,0.028666666666666667,0.16616666666666666,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,6.25,-226.25,0.9516
MES,Slow,2015-11-12 15:35:00,2015-11-17 15:35:00,2488.0,2497.5,1.0,47.5,1293.75,0.006333333333333333,0.1725,0.0,120.0,LE.Slow.C,LX1.Slow.C,Long,208.75,-116.25,0.7885
MES,Slow,2015-12-11 15:35:00,2015-12-15 15:30:00,2456.0,2493.5,1.0,187.5,1481.25,0.025,0.1975,0.0,95.91666666666667,LE.Slow.C,LX1.Slow.C,Long,86.25,-226.25,0.8759999999999999
MES,Slow,2015-12-18 15:35:00,2015-12-22 15:20:00,2448.0,2491.0,1.0,215.0,1696.25,0.028666666666666667,0.22616666666666665,0.0,95.75,LE.Slow.C,LX1.Slow.C,Long,0.0,-220.0,0.9773000000000001
MES,Slow,2015-12-31 15:35:00,2016-01-08 15:35:00,2491.0,2367.75,1.0,-616.25,1080.0,-0.08216666666666667,0.144,-0.08216666666666667,192.0,LE.Slow.C,LX.V140.Slow.C,Long,627.5,-40.0,0.0169
MES,Slow,2016-01-25 15:35:00,2016-01-26 15:35:00,2325.5,2351.25,1.0,128.75,1208.75,0.017166666666666667,0.16116666666666668,-0.065,24.0,LE.Slow.C,LX1.Slow.C,Long,93.75,-148.75,0.9175
MES,Slow,2016-02-23 15:35:00,2016-02-24 15:35:00,2370.75,2385.75,1.0,75.0,1283.75,0.01,0.17116666666666666,-0.055,24.0,LE.Slow.C,LX1.Slow.C,Long,142.5,-80.0,0.9775
MES,Slow,2016-02-29 15:20:00,2016-03-01 15:35:00,2385.5,2434.0,1.0,242.5,1526.25,0.03233333333333333,0.2035,-0.02266666666666667,24.25,LE.Slow.C,LX1.Slow.C,Long,46.25,-242.5,1.0
MES,Slow,2016-04-05 15:35:00,2016-04-06 15:35:00,2504.0,2525.0,1.0,105.0,1631.25,0.014,0.2175,-0.008666666666666666,24.0,LE.Slow.C,LX1.Slow.C,Long,21.25,-106.25,0.9902
MES,Slow,2016-04-11 15:35:00,2016-04-12 15:35:00,2499.25,2520.75,1.0,107.5,1738.75,0.014333333333333333,0.23183333333333334,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,26.25,-120.0,0.9145
MES,Slow,2016-04-21 15:35:00,2016-04-26 15:30:00,2547.25,2553.0,1.0,28.75,1767.5,0.003833333333333333,0.23566666666666666,0.0,119.91666666666667,LE.Slow.C,LX1.Slow.C,Long,57.5,-45.0,0.8415
MES,Slow,2016-05-04 15:30:00,2016-05-09 15:35:00,2511.25,2518.75,1.0,37.5,1805.0,0.005,0.24066666666666667,0.0,120.08333333333333,LE.Slow.C,LX1.Slow.C,Long,80.0,-67.5,0.7966
MES,Slow,2016-05-13 15:20:00,2016-05-16 15:35:00,2508.25,2527.0,1.0,93.75,1898.75,0.0125,0.25316666666666665,0.0,72.25,LE.Slow.C,LX1.Slow.C,Long,42.5,-125.0,0.8134
MES,Slow,2016-06-13 15:35:00,2016-06-20 15:35:00,2543.0,2548.25,1.0,26.25,1925.0,0.0035,0.25666666666666665,0.0,168.0,LE.Slow.C,LX1.Slow.C,Long,142.5,-116.25,0.6522
MES,Slow,2016-06-21 15:30:00,2016-06-22 15:35:00,2554.0,2550.75,1.0,-16.25,1908.75,-0.0021666666666666666,0.2545,-0.0021666666666666666,24.083333333333332,LE.Slow.C,LX1.Slow.C,Long,25.0,-55.0,0.1094
MES,Slow,2016-07-15 15:35:00,2016-07-18 15:35:00,2624.75,2633.5,1.0,43.75,1952.5,0.005833333333333334,0.26033333333333336,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,38.75,-61.25,0.825
MES,Slow,2016-08-10 15:30:00,2016-08-11 15:35:00,2646.5,2655.25,1.0,43.75,1996.25,0.005833333333333334,0.26616666666666666,0.0,24.083333333333332,LE.Slow.C,LX1.Slow.C,Long,13.75,-62.5,0.7541
MES,Slow,2016-08-24 15:35:00,2016-08-29 15:35:00,2649.0,2653.25,1.0,21.25,2017.5,0.0028333333333333335,0.269,0.0,120.0,LE.Slow.C,LX1.Slow.C,Long,88.75,-57.5,0.7521
MES,Slow,2016-09-14 15:35:00,2016-09-15 15:35:00,2593.75,2618.25,1.0,122.5,2140.0,0.01633333333333333,0.2853333333333333,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,28.75,-155.0,0.8231
MES,Slow,2016-09-20 15:35:00,2016-09-21 15:35:00,2611.25,2635.5,1.0,121.25,2261.25,0.016166666666666666,0.3015,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,23.75,-132.5,0.9279999999999999
MES,Slow,2016-09-26 15:30:00,2016-09-28 15:35:00,2619.75,2643.25,1.0,117.5,2378.75,0.015666666666666666,0.31716666666666665,0.0,48.083333333333336,LE.Slow.C,LX1.Slow.C,Long,33.75,-128.75,0.9308
MES,Slow,2016-10-12 15:35:00,2016-10-18 15:35:00,2611.5,2611.5,1.0,0.0,2378.75,0.0,0.31716666666666665,0.0,144.0,LE.Slow.C,LX1.Slow.C,Long,117.5,-60.0,0.662
MES,Slow,2016-10-27 15:35:00,2016-11-01 15:35:00,2605.25,2583.75,1.0,-107.5,2271.25,-0.014333333333333333,0.30283333333333334,-0.014333333333333333,120.0,LE.Slow.C,LX.V140.Slow.C,Long,170.0,-51.25,0.2825
MES,Slow,2016-11-02 15:35:00,2016-11-07 15:35:00,2573.0,2609.25,1.0,181.25,2452.5,0.024166666666666666,0.327,0.0,120.0,LE.Slow.C,LX1.Slow.C,Long,70.0,-187.5,0.9756999999999999
MES,Slow,2016-11-30 15:35:00,2016-12-05 15:35:00,2679.5,2684.75,1.0,26.25,2478.75,0.0035,0.3305,0.0,120.0,LE.Slow.C,LX1.Slow.C,Long,101.25,-47.5,0.8571
MES,Slow,2016-12-14 15:35:00,2016-12-15 15:35:00,2737.25,2744.0,1.0,33.75,2512.5,0.0045,0.335,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,22.5,-80.0,0.5488000000000001
MES,Slow,2016-12-28 15:35:00,2017-01-03 15:35:00,2731.0,2738.0,1.0,35.0,2547.5,0.004666666666666667,0.3396666666666667,0.0,144.0,LE.Slow.C,LX1.Slow.C,Long,87.5,-70.0,0.7778
MES,Slow,2017-01-10 15:35:00,2017-01-11 15:35:00,2749.25,2756.0,1.0,33.75,2581.25,0.0045,0.3441666666666667,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,43.75,-40.0,0.9254000000000001
MES,Slow,2017-02-01 15:30:00,2017-02-03 15:35:00,2760.25,2776.5,1.0,81.25,2662.5,0.010833333333333334,0.355,0.0,48.083333333333336,LE.Slow.C,LX1.Slow.C,Long,51.25,-96.25,0.8983
MES,Slow,2017-02-07 15:35:00,2017-02-08 15:35:00,2773.25,2775.5,1.0,11.25,2673.75,0.0015,0.3565,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,33.75,-21.25,0.8181999999999999
MES,Slow,2017-03-07 15:20:00,2017-03-10 15:35:00,2852.0,2856.5,1.0,22.5,2696.25,0.003,0.3595,0.0,72.25,LE.Slow.C,LX1.Slow.C,Long,62.5,-63.75,0.6733
