Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Trade_Type,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
MNQ,Fast,2015-01-05 15:50:00,2015-01-07 15:50:00,6264.0,6252.25,1.0,-23.5,-23.5,-0.0031333333333333335,-0.0031333333333333335,-0.0031333333333333335,48.0,LE2.Fast.C,LX2.Fast.C,Long,166.5,-14.5,0.7901
MNQ,Fast,2015-01-12 15:50:00,2015-01-13 15:00:00,6267.5,6255.25,1.0,-24.5,-48.0,-0.003266666666666667,-0.0064,-0.0064,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,Long,84.0,-158.0,0.2459
MNQ,Fast,2015-01-13 15:50:00,2015-01-16 15:50:00,6263.0,6234.75,1.0,-56.5,-104.5,-0.007533333333333334,-0.013933333333333334,-0.013933333333333334,72.0,LE2.Fast.C,LX2.Fast.C,Long,245.5,-51.5,0.6364
MNQ,Fast,2015-01-28 15:50:00,2015-01-29 15:00:00,6222.25,6272.0,1.0,99.5,-5.0,0.013266666666666666,-0.0006666666666666666,-0.0006666666666666666,23.166666666666668,LE1.Fast.C,LX.Gap.Fast.C,Long,55.5,-117.5,0.8959999999999999
MNQ,Fast,2015-01-30 15:50:00,2015-02-02 15:00:00,6239.75,6276.0,1.0,72.5,67.5,0.009666666666666667,0.009,0.0,71.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,Long,111.0,-82.0,0.9508
MNQ,Fast,2015-03-10 15:50:00,2015-03-12 15:00:00,6431.75,6436.5,1.0,9.5,77.0,0.0012666666666666666,0.010266666666666667,0.0,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,Long,68.5,-29.0,0.8
MNQ,Fast,2015-03-23 15:50:00,2015-03-27 15:50:00,6543.0,6428.25,1.0,-229.5,-152.5,-0.0306,-0.02033333333333333,-0.0306,96.0,LE2.Fast.C,LX2.Fast.C,Long,336.0,-46.0,0.2788
MNQ,Fast,2015-03-31 15:50:00,2015-04-02 15:50:00,6428.75,6413.25,1.0,-31.0,-183.5,-0.0041333333333333335,-0.024466666666666668,-0.03473333333333333,48.0,LE2.Fast.C,LX2.Fast.C,Long,129.5,-21.0,0.6545000000000001
MNQ,Fast,2015-04-07 15:50:00,2015-04-08 15:50:00,6437.75,6481.75,1.0,88.0,-95.5,0.011733333333333333,-0.012733333333333333,-0.023,24.0,LE2.Fast.C,LX2.Fast.C,Long,10.5,-88.5,0.9948999999999999
MNQ,Fast,2015-04-30 15:50:00,2015-05-01 15:50:00,6519.25,6572.5,1.0,106.5,11.0,0.0142,0.0014666666666666667,-0.0088,24.0,LE2.Fast.C,LX2.Fast.C,Long,9.0,-113.0,0.9467
MNQ,Fast,2015-05-05 15:50:00,2015-05-07 15:50:00,6515.25,6505.5,1.0,-19.5,-8.5,-0.0026,-0.0011333333333333334,-0.0114,48.0,LE2.Fast.C,LX2.Fast.C,Long,155.5,-26.5,0.7473000000000001
MNQ,Fast,2015-05-11 15:50:00,2015-05-12 15:50:00,6532.5,6525.5,1.0,-14.0,-22.5,-0.0018666666666666666,-0.003,-0.013266666666666666,24.0,LE2.Fast.C,LX2.Fast.C,Long,106.0,-21.0,0.7243999999999999
MNQ,Fast,2015-05-13 15:50:00,2015-05-14 15:00:00,6531.25,6595.0,1.0,127.5,105.0,0.017,0.014,0.0,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,Long,27.0,-131.5,0.9748
MNQ,Fast,2015-05-20 15:50:00,2015-05-21 15:50:00,6607.75,6634.75,1.0,54.0,159.0,0.0072,0.0212,0.0,24.0,LE2.Fast.C,LX2.Fast.C,Long,32.5,-67.5,0.865
MNQ,Fast,2015-06-15 15:50:00,2015-06-16 15:50:00,6537.75,6563.5,1.0,51.5,210.5,0.006866666666666667,0.028066666666666667,0.0,24.0,LE2.Fast.C,LX2.Fast.C,Long,61.0,-60.5,0.9259000000000001
MNQ,Fast,2015-06-25 15:50:00,2015-07-01 15:50:00,6617.25,6534.5,1.0,-165.5,45.0,-0.022066666666666665,0.006,-0.022066666666666665,144.0,LE2.Fast.C,LX2.Fast.C,Long,275.0,-22.5,0.36810000000000004
MNQ,Fast,2015-07-08 15:50:00,2015-07-09 15:00:00,6459.75,6462.5,1.0,5.5,50.5,0.0007333333333333333,0.006733333333333333,-0.021333333333333333,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,Long,10.5,-119.5,0.1231
MNQ,Fast,2015-07-09 15:50:00,2015-07-10 15:50:00,6451.5,6521.0,1.0,139.0,189.5,0.018533333333333332,0.025266666666666666,-0.0028,24.0,LE2.Fast.C,LX2.Fast.C,Long,1.5,-173.0,0.8051999999999999
MNQ,Fast,2015-07-21 15:50:00,2015-07-23 15:50:00,6731.5,6741.75,1.0,20.5,210.0,0.0027333333333333333,0.028,-6.666666666666667e-05,48.0,LE2.Fast.C,LX2.Fast.C,Long,71.5,-33.0,0.8804000000000001
MNQ,Fast,2015-07-27 15:50:00,2015-07-28 15:50:00,6632.25,6670.0,1.0,75.5,285.5,0.010066666666666666,0.038066666666666665,0.0,24.0,LE2.Fast.C,LX2.Fast.C,Long,47.5,-81.0,0.9571999999999999
MNQ,Fast,2015-08-04 15:50:00,2015-08-05 15:50:00,6665.25,6702.75,1.0,75.0,360.5,0.01,0.04806666666666667,0.0,24.0,LE2.Fast.C,LX2.Fast.C,Long,5.5,-150.5,0.516
MNQ,Fast,2015-08-06 15:50:00,2015-08-10 15:00:00,6637.5,6677.25,1.0,79.5,440.0,0.0106,0.058666666666666666,0.0,95.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,Long,91.0,-108.0,0.8568000000000001
MNQ,Fast,2015-08-19 15:50:00,2015-08-20 15:50:00,6613.25,6478.75,1.0,-269.0,171.0,-0.035866666666666665,0.0228,-0.035866666666666665,24.0,LE2.Fast.C,LX2.V140.Fast.C,Long,283.5,-22.5,0.047400000000000005
MNQ,Fast,2015-09-28 15:50:00,2015-09-30 15:00:00,6217.0,6285.25,1.0,136.5,307.5,0.0182,0.041,-0.017666666666666667,47.166666666666664,LE2.Fast.C,LX2.Open.Fast.C,Long,112.5,-144.0,0.9708
