Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Trade_Type,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
MNQ,Slow,2015-01-02 15:20:00,2015-01-08 15:35:00,6520.75,6537.75,1.0,34.0,34.0,0.004533333333333334,0.004533333333333334,0.0,144.25,LE.Slow.C,LX1.Slow.C,Long,265.0,-56.5,0.93
MNQ,Slow,2015-01-12 15:35:00,2015-01-20 15:35:00,6474.25,6473.25,1.0,-2.0,32.0,-0.0002666666666666667,0.004266666666666667,-0.0002666666666666667,192.0,LE.Slow.C,LX1.Slow.C,Long,253.0,-159.5,0.6085
MNQ,Slow,2015-03-10 15:35:00,2015-03-12 15:35:00,6638.5,6638.25,1.0,-0.5,31.5,-6.666666666666667e-05,0.0042,-0.0003333333333333333,48.0,LE.Slow.C,LX1.Slow.C,Long,67.0,-30.5,0.6820999999999999
MNQ,Slow,2015-03-13 15:35:00,2015-03-16 15:35:00,6616.5,6664.0,1.0,95.0,126.5,0.012666666666666666,0.016866666666666665,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,22.5,-123.5,0.8048000000000001
MNQ,Slow,2015-03-23 15:35:00,2015-03-30 15:35:00,6749.75,6687.0,1.0,-125.5,1.0,-0.016733333333333333,0.00013333333333333334,-0.016733333333333333,168.0,LE.Slow.C,LX1.Slow.C,Long,334.5,-47.5,0.5471
MNQ,Slow,2015-04-07 15:35:00,2015-04-08 15:35:00,6646.75,6687.25,1.0,81.0,82.0,0.0108,0.010933333333333333,-0.005933333333333333,24.0,LE.Slow.C,LX1.Slow.C,Long,13.5,-84.5,0.9643
MNQ,Slow,2015-05-05 15:35:00,2015-05-08 15:35:00,6721.0,6762.0,1.0,82.0,164.0,0.010933333333333333,0.021866666666666666,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,152.0,-108.5,0.8983
MNQ,Slow,2015-05-11 15:35:00,2015-05-12 15:35:00,6743.25,6733.5,1.0,-19.5,144.5,-0.0026,0.019266666666666668,-0.0026,24.0,LE.Slow.C,LX1.Slow.C,Long,112.5,-14.5,0.7323000000000001
MNQ,Slow,2015-05-13 15:35:00,2015-05-14 15:35:00,6736.5,6803.25,1.0,133.5,278.0,0.0178,0.037066666666666664,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,22.5,-138.0,0.972
MNQ,Slow,2015-06-15 15:35:00,2015-06-17 15:35:00,6746.0,6773.5,1.0,55.0,333.0,0.007333333333333333,0.0444,0.0,48.0,LE.Slow.C,LX1.Slow.C,Long,62.5,-98.0,0.7321
MNQ,Slow,2015-06-25 15:20:00,2015-07-02 15:35:00,6828.0,6747.5,1.0,-161.0,172.0,-0.021466666666666665,0.022933333333333333,-0.021466666666666665,168.25,LE.Slow.C,LX1.Slow.C,Long,281.5,-16.0,0.405
MNQ,Slow,2015-07-08 15:35:00,2015-07-10 15:35:00,6665.5,6728.0,1.0,125.0,297.0,0.016666666666666666,0.0396,-0.0048,48.0,LE.Slow.C,LX1.Slow.C,Long,29.5,-160.0,0.8153
MNQ,Slow,2015-07-27 15:35:00,2015-07-30 15:35:00,6841.75,6915.0,1.0,146.5,443.5,0.019533333333333333,0.059133333333333336,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,51.5,-152.0,0.973
MNQ,Slow,2015-08-04 15:35:00,2015-08-05 15:35:00,6872.25,6912.75,1.0,81.0,524.5,0.0108,0.06993333333333333,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,4.5,-151.5,0.5481
MNQ,Slow,2015-08-07 15:35:00,2015-08-10 15:35:00,6837.25,6885.0,1.0,95.5,620.0,0.012733333333333333,0.08266666666666667,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,11.0,-123.5,0.7918000000000001
MNQ,Slow,2015-09-18 15:35:00,2015-10-01 15:35:00,6653.75,6515.5,1.0,-276.5,343.5,-0.036866666666666666,0.0458,-0.036866666666666666,312.0,LE.Slow.C,LX1.Slow.C,Long,571.0,-70.5,0.45909999999999995
MNQ,Slow,2015-10-14 15:35:00,2015-10-15 15:35:00,6656.0,6738.0,1.0,164.0,507.5,0.021866666666666666,0.06766666666666667,-0.015,24.0,LE.Slow.C,LX1.Slow.C,Long,0.0,-167.0,0.982
MNQ,Slow,2015-10-21 15:35:00,2015-10-22 15:35:00,6728.25,6879.75,1.0,303.0,810.5,0.0404,0.10806666666666667,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,3.0,-315.5,0.9608
MNQ,Slow,2015-11-12 15:35:00,2015-11-17 15:35:00,6910.75,6897.0,1.0,-27.5,783.0,-0.0036666666666666666,0.1044,-0.0036666666666666666,120.0,LE.Slow.C,LX1.Slow.C,Long,256.5,-29.0,0.8020999999999999
MNQ,Slow,2015-12-03 15:35:00,2015-12-04 15:30:00,6939.0,7041.0,1.0,204.0,987.0,0.0272,0.1316,0.0,23.916666666666668,LE.Slow.C,LX1.Slow.C,Long,17.0,-223.5,0.9189
