Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Trade_Type,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
NQ,Fast,2015-01-02 15:45:00,2015-01-07 15:50:00,6513.25,6449.5,1.0,-1275.0,-1275.0,-0.017,-0.017,-0.017,120.08333333333333,LE2.Fast.C,LX2.Fast.C,Long,2705.0,-70.0,0.5153
NQ,Fast,2015-01-12 15:45:00,2015-01-13 15:00:00,6465.25,6452.5,1.0,-255.0,-1530.0,-0.0034,-0.0204,-0.0204,23.25,LE2.Fast.C,LX.Gap.Fast.C,Long,850.0,-1570.0,0.2459
NQ,Fast,2015-01-14 15:45:00,2015-01-16 15:50:00,6445.25,6432.0,1.0,-265.0,-1795.0,-0.003533333333333333,-0.023933333333333334,-0.023933333333333334,48.083333333333336,LE2.Fast.C,LX2.Fast.C,Long,2155.0,-815.0,0.6364
NQ,Fast,2015-03-10 15:45:00,2015-03-12 15:00:00,6628.75,6633.75,1.0,100.0,-1695.0,0.0013333333333333333,-0.0226,-0.0226,47.25,LE2.Fast.C,LX2.Open.Fast.C,Long,680.0,-295.0,0.8
NQ,Fast,2015-03-23 15:45:00,2015-03-27 15:50:00,6740.25,6625.5,1.0,-2295.0,-3990.0,-0.0306,-0.0532,-0.0532,96.08333333333333,LE2.Fast.C,LX2.Fast.C,Long,3360.0,-460.0,0.2788
NQ,Fast,2015-03-31 15:45:00,2015-04-02 15:50:00,6626.0,6610.5,1.0,-310.0,-4300.0,-0.0041333333333333335,-0.05733333333333333,-0.05733333333333333,48.083333333333336,LE2.Fast.C,LX2.Fast.C,Long,1295.0,-210.0,0.6545000000000001
NQ,Fast,2015-04-07 15:45:00,2015-04-08 15:50:00,6635.25,6679.0,1.0,875.0,-3425.0,0.011666666666666667,-0.04566666666666667,-0.04566666666666667,24.083333333333332,LE2.Fast.C,LX2.Fast.C,Long,110.0,-880.0,0.9948999999999999
NQ,Fast,2015-05-05 15:45:00,2015-05-07 15:50:00,6712.25,6702.75,1.0,-190.0,-3615.0,-0.002533333333333333,-0.0482,-0.0482,48.083333333333336,LE2.Fast.C,LX2.Fast.C,Long,1550.0,-270.0,0.7473000000000001
NQ,Fast,2015-05-11 15:45:00,2015-05-12 15:50:00,6729.75,6722.75,1.0,-140.0,-3755.0,-0.0018666666666666666,-0.05006666666666667,-0.05006666666666667,24.083333333333332,LE2.Fast.C,LX2.Fast.C,Long,1060.0,-210.0,0.7243999999999999
NQ,Fast,2015-05-13 15:45:00,2015-05-14 15:00:00,6728.75,6792.25,1.0,1270.0,-2485.0,0.016933333333333335,-0.033133333333333334,-0.033133333333333334,23.25,LE2.Fast.C,LX.Gap.Fast.C,Long,275.0,-1310.0,0.9748
NQ,Fast,2015-05-20 15:45:00,2015-05-21 15:50:00,6805.25,6832.0,1.0,535.0,-1950.0,0.0071333333333333335,-0.026,-0.026,24.083333333333332,LE2.Fast.C,LX2.Fast.C,Long,330.0,-670.0,0.865
NQ,Fast,2015-06-15 15:45:00,2015-06-16 15:50:00,6735.0,6760.75,1.0,515.0,-1435.0,0.006866666666666667,-0.019133333333333332,-0.019133333333333332,24.083333333333332,LE2.Fast.C,LX2.Fast.C,Long,610.0,-605.0,0.9259000000000001
NQ,Fast,2015-06-25 15:45:00,2015-07-01 15:50:00,6814.25,6731.75,1.0,-1650.0,-3085.0,-0.022,-0.041133333333333334,-0.041133333333333334,144.08333333333334,LE2.Fast.C,LX2.Fast.C,Long,2745.0,-230.0,0.36810000000000004
NQ,Fast,2015-07-08 15:45:00,2015-07-09 15:00:00,6657.0,6659.75,1.0,55.0,-3030.0,0.0007333333333333333,-0.0404,-0.0404,23.25,LE2.Fast.C,LX.Gap.Fast.C,Long,105.0,-1195.0,0.1231
NQ,Fast,2015-07-09 15:45:00,2015-07-10 15:50:00,6648.75,6718.25,1.0,1390.0,-1640.0,0.018533333333333332,-0.021866666666666666,-0.021866666666666666,24.083333333333332,LE2.Fast.C,LX2.Fast.C,Long,15.0,-1730.0,0.8051999999999999
NQ,Fast,2015-07-21 15:45:00,2015-07-23 15:50:00,6928.75,6939.0,1.0,205.0,-1435.0,0.0027333333333333333,-0.019133333333333332,-0.019133333333333332,48.083333333333336,LE2.Fast.C,LX2.Fast.C,Long,715.0,-330.0,0.8804000000000001
NQ,Fast,2015-07-27 15:45:00,2015-07-28 15:50:00,6829.75,6867.25,1.0,750.0,-685.0,0.01,-0.009133333333333334,-0.009133333333333334,24.083333333333332,LE2.Fast.C,LX2.Fast.C,Long,480.0,-805.0,0.9571999999999999
NQ,Fast,2015-08-04 15:45:00,2015-08-05 15:50:00,6862.5,6900.0,1.0,750.0,65.0,0.01,0.0008666666666666666,0.0,24.083333333333332,LE2.Fast.C,LX2.Fast.C,Long,55.0,-1505.0,0.516
NQ,Fast,2015-08-07 15:45:00,2015-08-10 15:00:00,6826.0,6874.5,1.0,970.0,1035.0,0.012933333333333333,0.0138,0.0,71.25,LE2.Fast.C,LX1.Open.Fast.C,Long,90.0,-1255.0,0.7881
NQ,Fast,2015-08-19 15:45:00,2015-08-20 15:50:00,6810.5,6676.0,1.0,-2690.0,-1655.0,-0.035866666666666665,-0.022066666666666665,-0.035866666666666665,24.083333333333332,LE2.Fast.C,LX2.V140.Fast.C,Long,2835.0,-225.0,0.047400000000000005
NQ,Fast,2015-10-14 15:45:00,2015-10-15 15:00:00,6649.25,6724.25,1.0,1500.0,-155.0,0.02,-0.0020666666666666667,-0.015866666666666668,23.25,LE2.Fast.C,LX.Gap.Fast.C,Long,40.0,-1525.0,0.9840000000000001
NQ,Fast,2015-10-21 15:45:00,2015-10-22 15:50:00,6723.75,6881.25,1.0,3150.0,2995.0,0.042,0.039933333333333335,0.0,24.083333333333332,LE2.Fast.C,LX2.Fast.C,Long,90.0,-3165.0,0.9954000000000001
