Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Trade_Type,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
NQ,Slow,2015-01-02 15:20:00,2015-01-08 15:35:00,6510.5,6527.5,1.0,340.0,340.0,0.004533333333333334,0.004533333333333334,0.0,144.25,LE.Slow.C,LX1.Slow.C,Long,2650.0,-565.0,0.93
NQ,Slow,2015-01-12 15:35:00,2015-01-20 15:35:00,6464.0,6463.0,1.0,-20.0,320.0,-0.0002666666666666667,0.004266666666666667,-0.0002666666666666667,192.0,LE.Slow.C,LX1.Slow.C,Long,2530.0,-1595.0,0.6085
NQ,Slow,2015-01-30 15:35:00,2015-02-02 15:35:00,6440.25,6478.25,1.0,760.0,1080.0,0.010133333333333333,0.0144,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,1175.0,-875.0,0.9439
NQ,Slow,2015-03-10 15:35:00,2015-03-16 15:35:00,6628.25,6653.75,1.0,510.0,1590.0,0.0068,0.0212,0.0,144.0,LE.Slow.C,LX1.Slow.C,Long,890.0,-795.0,0.8309000000000001
NQ,Slow,2015-03-23 15:35:00,2015-03-30 15:35:00,6739.5,6676.75,1.0,-1255.0,335.0,-0.016733333333333333,0.0044666666666666665,-0.016733333333333333,168.0,LE.Slow.C,LX1.Slow.C,Long,3345.0,-475.0,0.5471
NQ,Slow,2015-04-07 15:35:00,2015-04-08 15:35:00,6636.5,6677.0,1.0,810.0,1145.0,0.0108,0.015266666666666666,-0.005933333333333333,24.0,LE.Slow.C,LX1.Slow.C,Long,135.0,-845.0,0.9643
NQ,Slow,2015-05-05 15:35:00,2015-05-08 15:35:00,6710.75,6751.75,1.0,820.0,1965.0,0.010933333333333333,0.0262,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,1520.0,-1085.0,0.8983
NQ,Slow,2015-05-11 15:35:00,2015-05-12 15:35:00,6733.0,6723.25,1.0,-195.0,1770.0,-0.0026,0.0236,-0.0026,24.0,LE.Slow.C,LX1.Slow.C,Long,1125.0,-145.0,0.7323000000000001
NQ,Slow,2015-05-13 15:35:00,2015-05-14 15:35:00,6726.25,6793.0,1.0,1335.0,3105.0,0.0178,0.0414,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,225.0,-1380.0,0.972
NQ,Slow,2015-06-15 15:35:00,2015-06-17 15:35:00,6735.75,6763.25,1.0,550.0,3655.0,0.007333333333333333,0.04873333333333333,0.0,48.0,LE.Slow.C,LX1.Slow.C,Long,625.0,-980.0,0.7321
NQ,Slow,2015-06-25 15:20:00,2015-07-02 15:35:00,6817.75,6737.25,1.0,-1610.0,2045.0,-0.021466666666666665,0.027266666666666668,-0.021466666666666665,168.25,LE.Slow.C,LX1.Slow.C,Long,2815.0,-160.0,0.405
NQ,Slow,2015-07-08 15:35:00,2015-07-10 15:35:00,6655.25,6717.75,1.0,1250.0,3295.0,0.016666666666666666,0.04393333333333333,-0.0048,48.0,LE.Slow.C,LX1.Slow.C,Long,295.0,-1600.0,0.8153
NQ,Slow,2015-07-27 15:35:00,2015-07-30 15:35:00,6831.5,6904.75,1.0,1465.0,4760.0,0.019533333333333333,0.06346666666666667,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,515.0,-1520.0,0.973
NQ,Slow,2015-08-04 15:35:00,2015-08-05 15:35:00,6862.0,6902.5,1.0,810.0,5570.0,0.0108,0.07426666666666666,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,45.0,-1515.0,0.5481
NQ,Slow,2015-08-07 15:35:00,2015-08-10 15:35:00,6827.0,6874.75,1.0,955.0,6525.0,0.012733333333333333,0.087,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,110.0,-1235.0,0.7918000000000001
NQ,Slow,2015-09-18 15:35:00,2015-10-01 15:35:00,6643.5,6505.25,1.0,-2765.0,3760.0,-0.036866666666666666,0.050133333333333335,-0.036866666666666666,312.0,LE.Slow.C,LX1.Slow.C,Long,5710.0,-705.0,0.45909999999999995
NQ,Slow,2015-10-14 15:35:00,2015-10-15 15:35:00,6645.75,6727.75,1.0,1640.0,5400.0,0.021866666666666666,0.072,-0.015,24.0,LE.Slow.C,LX1.Slow.C,Long,0.0,-1670.0,0.982
NQ,Slow,2015-10-21 15:35:00,2015-10-22 15:35:00,6718.0,6869.5,1.0,3030.0,8430.0,0.0404,0.1124,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,30.0,-3155.0,0.9608
NQ,Slow,2015-11-12 15:35:00,2015-11-17 15:35:00,6900.5,6886.75,1.0,-275.0,8155.0,-0.0036666666666666666,0.10873333333333333,-0.0036666666666666666,120.0,LE.Slow.C,LX1.Slow.C,Long,2565.0,-290.0,0.8020999999999999
NQ,Slow,2015-12-11 15:35:00,2015-12-14 15:35:00,6854.0,6883.75,1.0,595.0,8750.0,0.007933333333333334,0.11666666666666667,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,1185.0,-860.0,0.8704000000000001
NQ,Slow,2015-12-17 15:35:00,2015-12-22 15:35:00,6893.5,6913.5,1.0,400.0,9150.0,0.005333333333333333,0.122,0.0,120.0,LE.Slow.C,LX1.Slow.C,Long,1355.0,-440.0,0.9777
NQ,Slow,2015-12-31 15:35:00,2016-01-13 15:35:00,6914.75,6498.25,1.0,-8330.0,820.0,-0.11106666666666666,0.010933333333333333,-0.11106666666666666,312.0,LE.Slow.C,LX.V140.Slow.C,Long,8480.0,-310.0,0.0171
NQ,Slow,2016-01-25 15:20:00,2016-01-26 15:35:00,6510.0,6547.5,1.0,750.0,1570.0,0.01,0.020933333333333335,-0.10106666666666667,24.25,LE.Slow.C,LX1.Slow.C,Long,1070.0,-1145.0,0.8217
NQ,Slow,2016-01-27 15:35:00,2016-01-29 15:35:00,6457.5,6588.0,1.0,2610.0,4180.0,0.0348,0.055733333333333336,-0.06626666666666667,48.0,LE.Slow.C,LX1.Slow.C,Long,545.0,-2745.0,0.9590000000000001
NQ,Slow,2016-02-10 15:35:00,2016-02-12 15:30:00,6291.5,6329.75,1.0,765.0,4945.0,0.0102,0.06593333333333333,-0.05606666666666667,47.916666666666664,LE.Slow.C,LX1.Slow.C,Long,2115.0,-990.0,0.9275
NQ,Slow,2016-02-23 15:35:00,2016-02-24 15:35:00,6480.75,6531.0,1.0,1005.0,5950.0,0.0134,0.07933333333333334,-0.042666666666666665,24.0,LE.Slow.C,LX1.Slow.C,Long,1450.0,-1065.0,0.9761
NQ,Slow,2016-02-29 15:20:00,2016-03-01 15:35:00,6526.75,6661.75,1.0,2700.0,8650.0,0.036,0.11533333333333333,-0.006666666666666667,24.25,LE.Slow.C,LX1.Slow.C,Long,460.0,-2705.0,0.9984000000000001
NQ,Slow,2016-03-08 15:30:00,2016-03-11 15:20:00,6596.5,6677.0,1.0,1610.0,10260.0,0.021466666666666665,0.1368,0.0,71.83333333333333,LE.Slow.C,LX1.Slow.C,Long,875.0,-1795.0,0.9307
NQ,Slow,2016-04-05 15:35:00,2016-04-06 15:35:00,6803.0,6867.75,1.0,1295.0,11555.0,0.017266666666666666,0.15406666666666666,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,65.0,-1345.0,0.9645
NQ,Slow,2016-04-11 15:35:00,2016-04-12 15:35:00,6782.75,6822.25,1.0,790.0,12345.0,0.010533333333333334,0.1646,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,475.0,-945.0,0.8908
NQ,Slow,2016-04-21 15:35:00,2016-05-09 15:35:00,6826.0,6668.0,1.0,-3160.0,9185.0,-0.042133333333333335,0.12246666666666667,-0.042133333333333335,432.0,LE.Slow.C,LX1.Slow.C,Long,4450.0,-165.0,0.27949999999999997
NQ,Slow,2016-05-11 15:35:00,2016-05-16 15:35:00,6684.0,6707.25,1.0,465.0,9650.0,0.0062,0.12866666666666668,-0.03593333333333333,120.0,LE.Slow.C,LX1.Slow.C,Long,955.0,-810.0,0.8045
NQ,Slow,2016-05-17 15:35:00,2016-05-20 15:35:00,6654.0,6695.75,1.0,835.0,10485.0,0.011133333333333334,0.1398,-0.0248,72.0,LE.Slow.C,LX1.Slow.C,Long,815.0,-1150.0,0.8397
NQ,Slow,2016-06-13 15:35:00,2016-06-21 15:30:00,6758.25,6741.25,1.0,-340.0,10145.0,-0.004533333333333334,0.13526666666666667,-0.029333333333333333,191.91666666666666,LE.Slow.C,LX1.Slow.C,Long,1305.0,-380.0,0.5727
NQ,Slow,2016-06-22 15:35:00,2016-06-23 15:35:00,6736.5,6804.75,1.0,1365.0,11510.0,0.0182,0.15346666666666667,-0.011133333333333334,24.0,LE.Slow.C,LX1.Slow.C,Long,35.0,-1370.0,0.9964
NQ,Slow,2016-08-24 15:35:00,2016-09-02 15:30:00,7127.5,7135.25,1.0,155.0,11665.0,0.0020666666666666667,0.15553333333333333,-0.009066666666666667,215.91666666666666,LE.Slow.C,LX1.Slow.C,Long,750.0,-615.0,0.6629999999999999
NQ,Slow,2016-09-14 15:35:00,2016-09-15 15:35:00,7074.0,7159.0,1.0,1700.0,13365.0,0.02266666666666667,0.1782,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,255.0,-1890.0,0.9114
NQ,Slow,2016-09-20 15:35:00,2016-09-21 15:35:00,7146.5,7194.5,1.0,960.0,14325.0,0.0128,0.191,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,260.0,-1060.0,0.9242
NQ,Slow,2016-09-26 15:35:00,2016-09-27 15:35:00,7159.5,7205.25,1.0,915.0,15240.0,0.0122,0.2032,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,275.0,-1000.0,0.9333
NQ,Slow,2016-10-18 15:35:00,2016-10-19 15:35:00,7171.25,7175.75,1.0,90.0,15330.0,0.0012,0.2044,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,305.0,-280.0,0.6751999999999999
NQ,Slow,2016-10-26 15:35:00,2016-11-07 15:35:00,7198.5,7121.5,1.0,-1540.0,13790.0,-0.020533333333333334,0.18386666666666668,-0.020533333333333334,288.0,LE.Slow.C,LX1.Slow.C,Long,4045.0,-535.0,0.5468999999999999
NQ,Slow,2016-11-30 15:35:00,2016-12-05 15:35:00,7165.75,7125.75,1.0,-800.0,12990.0,-0.010666666666666666,0.1732,-0.0312,120.0,LE.Slow.C,LX1.Slow.C,Long,2385.0,-135.0,0.629
NQ,Slow,2016-12-16 15:30:00,2016-12-19 15:35:00,7262.5,7285.25,1.0,455.0,13445.0,0.006066666666666666,0.17926666666666666,-0.025133333333333334,72.08333333333333,LE.Slow.C,LX1.Slow.C,Long,105.0,-1000.0,0.5068
NQ,Slow,2016-12-28 15:35:00,2017-01-04 15:35:00,7270.75,7279.25,1.0,170.0,13615.0,0.002266666666666667,0.18153333333333332,-0.022866666666666667,168.0,LE.Slow.C,LX1.Slow.C,Long,1490.0,-360.0,0.8973
NQ,Slow,2017-03-22 15:20:00,2017-03-24 15:35:00,7707.75,7720.25,1.0,250.0,13865.0,0.0033333333333333335,0.18486666666666668,-0.019533333333333333,48.25,LE.Slow.C,LX1.Slow.C,Long,365.0,-590.0,0.644
NQ,Slow,2017-04-12 15:35:00,2017-04-17 15:35:00,7713.75,7737.0,1.0,465.0,14330.0,0.0062,0.19106666666666666,-0.013333333333333334,120.0,LE.Slow.C,LX1.Slow.C,Long,480.0,-560.0,0.9087000000000001
NQ,Slow,2017-04-19 15:30:00,2017-04-20 15:35:00,7739.0,7785.0,1.0,920.0,15250.0,0.012266666666666667,0.20333333333333334,-0.0010666666666666667,24.083333333333332,LE.Slow.C,LX1.Slow.C,Long,55.0,-1160.0,0.8025
NQ,Slow,2017-04-26 15:35:00,2017-04-27 15:35:00,7879.25,7931.25,1.0,1040.0,16290.0,0.013866666666666666,0.2172,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,55.0,-1240.0,0.8456
NQ,Slow,2017-05-19 15:30:00,2017-05-22 15:35:00,7995.75,8043.5,1.0,955.0,17245.0,0.012733333333333333,0.22993333333333332,0.0,72.08333333333333,LE.Slow.C,LX1.Slow.C,Long,95.0,-1010.0,0.9501999999999999
NQ,Slow,2017-06-20 15:35:00,2017-06-21 15:35:00,8068.0,8129.75,1.0,1235.0,18480.0,0.016466666666666668,0.2464,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,685.0,-1265.0,0.9845999999999999
NQ,Slow,2017-07-06 15:35:00,2017-07-07 15:35:00,7933.25,7989.5,1.0,1125.0,19605.0,0.015,0.2614,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,140.0,-1560.0,0.7441
NQ,Slow,2017-08-17 15:35:00,2017-08-22 15:35:00,8135.5,8213.75,1.0,1565.0,21170.0,0.020866666666666665,0.28226666666666667,0.0,120.0,LE.Slow.C,LX1.Slow.C,Long,970.0,-1625.0,0.9769
NQ,Slow,2017-08-25 15:35:00,2017-08-29 15:30:00,8160.5,8204.75,1.0,885.0,22055.0,0.0118,0.29406666666666664,0.0,95.91666666666667,LE.Slow.C,LX1.Slow.C,Long,970.0,-995.0,0.9440000000000001
NQ,Slow,2017-10-23 15:30:00,2017-10-26 15:35:00,8391.25,8421.5,1.0,605.0,22660.0,0.008066666666666666,0.3021333333333333,0.0,72.08333333333333,LE.Slow.C,LX1.Slow.C,Long,1055.0,-605.0,1.0
NQ,Slow,2017-11-15 15:35:00,2017-11-16 15:35:00,8594.25,8668.75,1.0,1490.0,24150.0,0.019866666666666668,0.322,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,120.0,-1835.0,0.8234999999999999
NQ,Slow,2017-11-17 15:35:00,2017-11-20 15:35:00,8640.75,8643.25,1.0,50.0,24200.0,0.0006666666666666666,0.32266666666666666,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,440.0,-320.0,0.6446999999999999
NQ,Slow,2017-12-14 15:30:00,2017-12-15 15:35:00,8718.75,8808.75,1.0,1800.0,26000.0,0.024,0.3466666666666667,0.0,24.083333333333332,LE.Slow.C,LX1.Slow.C,Long,185.0,-1815.0,0.9925
NQ,Slow,2017-12-21 15:35:00,2018-01-02 15:20:00,8800.75,8822.75,1.0,440.0,26440.0,0.005866666666666667,0.3525333333333333,0.0,287.75,LE.Slow.C,LX1.Slow.C,Long,2175.0,-625.0,0.9339
NQ,Slow,2018-02-21 15:30:00,2018-02-22 15:35:00,9068.25,9097.5,1.0,585.0,27025.0,0.0078,0.36033333333333334,0.0,24.083333333333332,LE.Slow.C,LX1.Slow.C,Long,1295.0,-1440.0,0.6873999999999999
NQ,Slow,2018-02-28 15:35:00,2018-03-05 15:30:00,9188.75,9187.25,1.0,-30.0,26995.0,-0.0004,0.3599333333333333,-0.0004,119.91666666666667,LE.Slow.C,LX1.Slow.C,Long,4680.0,-490.0,0.8994
NQ,Slow,2018-04-09 15:35:00,2018-04-10 15:20:00,8779.5,8907.5,1.0,2560.0,29555.0,0.034133333333333335,0.3940666666666667,0.0,23.75,LE.Slow.C,LX1.Slow.C,Long,485.0,-3115.0,0.8458
NQ,Slow,2018-04-11 15:30:00,2018-04-12 15:30:00,8875.75,8953.75,1.0,1560.0,31115.0,0.0208,0.41486666666666666,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,50.0,-2030.0,0.774
NQ,Slow,2018-04-13 15:35:00,2018-04-16 15:20:00,8921.5,8996.0,1.0,1490.0,32605.0,0.019866666666666668,0.43473333333333336,0.0,71.75,LE.Slow.C,LX1.Slow.C,Long,25.0,-1680.0,0.8886
NQ,Slow,2018-04-20 15:35:00,2018-04-26 15:20:00,8960.25,9019.5,1.0,1185.0,33790.0,0.0158,0.45053333333333334,0.0,143.75,LE.Slow.C,LX1.Slow.C,Long,4950.0,-1205.0,0.9968
NQ,Slow,2018-04-30 15:35:00,2018-05-01 15:35:00,8896.75,8974.5,1.0,1555.0,35345.0,0.020733333333333333,0.47126666666666667,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,690.0,-1700.0,0.9393
NQ,Slow,2018-05-02 15:35:00,2018-05-03 15:30:00,8917.75,8946.25,1.0,570.0,35915.0,0.0076,0.47886666666666666,0.0,23.916666666666668,LE.Slow.C,LX1.Slow.C,Long,1925.0,-745.0,0.9345
NQ,Slow,2018-05-18 15:35:00,2018-05-21 15:35:00,9158.25,9198.75,1.0,810.0,36725.0,0.0108,0.48966666666666664,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,35.0,-1645.0,0.503
NQ,Slow,2018-05-22 15:30:00,2018-05-23 15:35:00,9192.0,9240.5,1.0,970.0,37695.0,0.012933333333333333,0.5026,0.0,24.083333333333332,LE.Slow.C,LX1.Slow.C,Long,1575.0,-1060.0,0.9658
NQ,Slow,2018-06-13 15:35:00,2018-06-14 15:35:00,9490.5,9570.5,1.0,1600.0,39295.0,0.021333333333333333,0.5239333333333334,0.0,24.0,LE.Slow.C,LX1.Slow.C,Long,515.0,-1800.0,0.9136
NQ,Slow,2018-06-22 15:20:00,2018-06-25 15:35:00,9483.0,9331.25,1.0,-3035.0,36260.0,-0.040466666666666665,0.48346666666666666,-0.040466666666666665,72.25,LE.Slow.C,LX.V140.Slow.C,Long,4560.0,-35.0,0.3319
NQ,Slow,2018-06-29 15:35:00,2018-07-02 15:35:00,9332.5,9376.5,1.0,880.0,37140.0,0.011733333333333333,0.4952,-0.028733333333333333,72.0,LE.Slow.C,LX1.Slow.C,Long,1710.0,-935.0,0.9792000000000001
NQ,Slow,2018-07-16 15:35:00,2018-07-17 15:35:00,9583.5,9681.5,1.0,1960.0,39100.0,0.026133333333333335,0.5213333333333333,-0.0026,24.0,LE.Slow.C,LX1.Slow.C,Long,630.0,-2240.0,0.9024
NQ,Slow,2018-07-20 15:35:00,2018-07-23 15:35:00,9619.5,9685.5,1.0,1320.0,40420.0,0.0176,0.5389333333333334,0.0,72.0,LE.Slow.C,LX1.Slow.C,Long,970.0,-1455.0,0.9443
