Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Trade_Type,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
ES,GAP,2015-01-13 08:29:00,2015-01-13 12:52:00,2409.75,2386.25,1.0,1175.0,1175.0,0.01175,0.01175,0.0,4.383333333333334,SE,SX.Targ.Pcnt,Short,687.5,-1175.0,1.0
ES,GAP,2015-01-15 08:29:00,2015-01-15 08:39:00,2382.25,2373.75,4.0,1700.0,2875.0,0.017,0.02875,0.0,0.16666666666666666,SE,SX.Targ.Pcnt,Short,1100.0,-1700.0,1.0
ES,GAP,2015-01-23 08:29:00,2015-01-23 14:58:00,2424.25,2417.0,6.0,-2175.0,700.0,-0.02175,0.007,-0.02175,6.483333333333333,LE,LX.Stop1.C,Long,2550.0,-1425.0,0.0943
ES,GAP,2015-01-30 08:29:00,2015-01-30 14:59:00,2370.5,2359.25,4.0,-2250.0,-1550.0,-0.0225,-0.0155,-0.04425,6.5,LE,LX.EOD,Long,2350.0,-3700.0,0.0165
ES,GAP,2015-02-06 08:29:00,2015-02-06 09:51:00,2432.5,2438.5,18.0,-5400.0,-6950.0,-0.054,-0.0695,-0.09825,1.3666666666666667,SE,SX.Stop1.C,Short,6525.0,-4275.0,0.1042
ES,GAP,2015-02-18 08:29:00,2015-02-18 14:59:00,2463.25,2467.5,5.0,1062.5,-5887.5,0.010625,-0.058875,-0.087625,6.5,LE,LX.EOD,Long,750.0,-1500.0,0.8056
ES,GAP,2015-02-20 08:29:00,2015-02-20 11:43:00,2461.5,2469.5,5.0,2000.0,-3887.5,0.02,-0.038875,-0.067625,3.2333333333333334,LE,LX.Targ.Pcnt,Long,1875.0,-2000.0,1.0
ES,GAP,2015-02-25 08:29:00,2015-02-25 12:19:00,2483.25,2486.75,12.0,2100.0,-1787.5,0.021,-0.017875,-0.046625,3.8333333333333335,LE,LX.Targ.Pcnt,Long,1650.0,-2100.0,1.0
ES,GAP,2015-03-03 08:29:00,2015-03-03 10:40:00,2480.75,2471.25,4.0,-1900.0,-3687.5,-0.019,-0.036875,-0.065625,2.183333333333333,LE,LX.Stop2.C,Long,2250.0,-350.0,0.1346
ES,GAP,2015-03-04 08:29:00,2015-03-04 08:48:00,2470.75,2462.5,10.0,-4125.0,-7812.5,-0.04125,-0.078125,-0.106875,0.31666666666666665,LE,LX.Stop2.C,Long,5000.0,-250.0,0.16670000000000001
ES,GAP,2015-03-05 08:29:00,2015-03-05 11:51:00,2472.25,2467.25,18.0,4500.0,-3312.5,0.045,-0.033125,-0.061875,3.3666666666666667,SE,SX.Targ.Pcnt,Short,2025.0,-4500.0,1.0
ES,GAP,2015-03-06 08:29:00,2015-03-06 12:38:00,2458.0,2444.5,2.0,-1350.0,-4662.5,-0.0135,-0.046625,-0.075375,4.15,LE,LX.Stop2.C,Long,1525.0,-800.0,0.0753
ES,GAP,2015-03-10 08:29:00,2015-03-10 14:59:00,2432.25,2417.75,4.0,-2900.0,-7562.5,-0.029,-0.075625,-0.104375,6.5,LE,LX.EOD,Long,3150.0,-450.0,0.0694
ES,GAP,2015-03-11 08:29:00,2015-03-11 09:35:00,2418.5,2414.5,18.0,3600.0,-3962.5,0.036,-0.039625,-0.068375,1.1,SE,SX.Targ.Pcnt,Short,2475.0,-3600.0,1.0
ES,GAP,2015-03-17 08:29:00,2015-03-17 14:59:00,2443.75,2444.25,3.0,75.0,-3887.5,0.00075,-0.038875,-0.067625,6.5,LE,LX.EOD,Long,1237.5,-900.0,0.614
ES,GAP,2015-03-18 08:29:00,2015-03-18 13:01:00,2439.0,2448.5,11.0,5225.0,1337.5,0.05225,0.013375,-0.015375,4.533333333333333,LE,LX.Targ.Pcnt,Long,4125.0,-5225.0,1.0
ES,GAP,2015-03-20 08:29:00,2015-03-20 14:59:00,2473.75,2480.75,2.0,-700.0,637.5,-0.007,0.006375,-0.022375,6.5,SE,SX.EOD,Short,1225.0,-250.0,0.35590000000000005
ES,GAP,2015-03-25 08:29:00,2015-03-25 08:46:00,2466.25,2461.5,18.0,4275.0,4912.5,0.04275,0.049125,0.0,0.2833333333333333,SE,SX.Targ.Pcnt,Short,2025.0,-4275.0,1.0
ES,GAP,2015-03-26 08:29:00,2015-03-26 12:45:00,2423.75,2435.75,3.0,1800.0,6712.5,0.018,0.067125,0.0,4.266666666666667,LE,LX.Targ.Pcnt,Long,1237.5,-1800.0,1.0
ES,GAP,2015-03-31 08:29:00,2015-03-31 14:59:00,2445.75,2442.5,2.0,-325.0,6387.5,-0.00325,0.063875,-0.00325,6.5,LE,LX.EOD,Long,800.0,-975.0,0.2676
ES,GAP,2015-04-16 08:29:00,2015-04-16 12:48:00,2473.75,2481.5,13.0,5037.5,11425.0,0.050375,0.11425,0.0,4.316666666666666,LE,LX.Targ.Pcnt,Long,1137.5,-5037.5,1.0
ES,GAP,2015-04-17 08:29:00,2015-04-17 13:00:00,2463.75,2448.25,2.0,-1550.0,9875.0,-0.0155,0.09875,-0.0155,4.516666666666667,LE,LX.Stop2.C,Long,1675.0,-250.0,0.0649
ES,GAP,2015-04-21 08:29:00,2015-04-21 13:00:00,2481.25,2468.5,8.0,5100.0,14975.0,0.051,0.14975,0.0,4.516666666666667,SE,SX.Targ.Pcnt,Short,600.0,-5100.0,1.0
ES,GAP,2015-04-22 08:29:00,2015-04-22 08:47:00,2474.75,2468.5,7.0,2187.5,17162.5,0.021875,0.171625,0.0,0.3,SE,SX.Targ.Pcnt,Short,175.0,-2187.5,1.0
ES,GAP,2015-04-23 08:29:00,2015-04-23 10:53:00,2475.5,2483.0,6.0,2250.0,19412.5,0.0225,0.194125,0.0,2.4,LE,LX.Targ.Pcnt,Long,450.0,-2250.0,1.0
