Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Trade_Type,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
MES,GAP,2015-07-31 08:29:00,2015-07-31 13:22:00,2495.0,2484.0,4.0,220.0,220.0,0.022,0.022,0.0,4.883333333333334,SE,SX.Targ.Pcnt,Short,10.0,-220.0,1.0
MES,GAP,2015-08-11 08:29:00,2015-08-11 14:59:00,2469.25,2465.5,1.0,-18.75,201.25,-0.001875,0.020125,-0.001875,6.5,LE,LX.EOD,Long,61.25,-26.25,0.4857
MES,GAP,2015-08-12 08:29:00,2015-08-12 14:59:00,2449.75,2467.25,4.0,350.0,551.25,0.035,0.055125,0.0,6.5,LE,LX.EOD,Long,340.0,-425.0,0.902
MES,GAP,2015-08-20 08:29:00,2015-08-20 13:43:00,2445.75,2426.25,1.0,-97.5,453.75,-0.00975,0.045375,-0.00975,5.233333333333333,LE,LX.Stop2.C,Long,100.0,-27.5,0.0196
MES,GAP,2015-09-10 08:29:00,2015-09-10 08:34:00,2323.5,2328.25,18.0,427.5,881.25,0.04275,0.088125,0.0,0.08333333333333333,LE,LX.Targ.Pcnt,Long,135.0,-427.5,1.0
MES,GAP,2015-09-24 08:29:00,2015-09-24 14:59:00,2307.5,2318.25,1.0,53.75,935.0,0.005375,0.0935,0.0,6.5,LE,LX.EOD,Long,73.75,-73.75,0.8644
MES,GAP,2015-09-25 08:29:00,2015-09-25 14:12:00,2334.75,2308.0,1.0,133.75,1068.75,0.013375,0.106875,0.0,5.716666666666667,SE,SX.Targ.Pcnt,Short,16.25,-133.75,1.0
MES,GAP,2015-09-29 08:29:00,2015-09-29 08:44:00,2272.0,2264.0,5.0,200.0,1268.75,0.02,0.126875,0.0,0.25,SE,SX.Targ.Pcnt,Short,37.5,-200.0,1.0
MES,GAP,2015-10-13 08:29:00,2015-10-13 09:57:00,2395.0,2408.5,3.0,202.5,1471.25,0.02025,0.147125,0.0,1.4666666666666666,LE,LX.Targ.Pcnt,Long,22.5,-202.5,1.0
MES,GAP,2015-10-15 08:29:00,2015-10-15 12:06:00,2389.75,2398.5,3.0,-131.25,1340.0,-0.013125,0.134,-0.013125,3.6166666666666667,SE,SX.Stop2.C,Short,142.5,-71.25,0.0526
MES,GAP,2015-10-27 08:29:00,2015-10-27 14:59:00,2451.25,2454.5,9.0,146.25,1486.25,0.014625,0.148625,0.0,6.5,LE,LX.EOD,Long,202.5,-360.0,0.62
MES,GAP,2015-11-11 08:29:00,2015-11-11 09:03:00,2478.0,2470.5,5.0,187.5,1673.75,0.01875,0.167375,0.0,0.5666666666666667,SE,SX.Targ.Pcnt,Short,0.0,-187.5,1.0
MES,GAP,2015-11-12 08:29:00,2015-11-12 14:49:00,2452.75,2439.25,2.0,-135.0,1538.75,-0.0135,0.153875,-0.0135,6.333333333333333,LE,LX.Stop2.C,Long,140.0,-62.5,0.024700000000000003
MES,GAP,2015-11-13 08:29:00,2015-11-13 09:08:00,2431.25,2423.5,13.0,-503.75,1035.0,-0.050375,0.1035,-0.063875,0.65,LE,LX.Stop1.C,Long,536.25,-243.75,0.0417
MES,GAP,2015-11-24 08:29:00,2015-11-24 13:06:00,2467.0,2484.75,16.0,1420.0,2455.0,0.142,0.2455,0.0,4.616666666666666,LE,LX.Targ.Pcnt,Long,360.0,-1420.0,1.0
MES,GAP,2015-12-03 08:29:00,2015-12-03 08:47:00,2479.0,2470.75,5.0,206.25,2661.25,0.020625,0.266125,0.0,0.3,SE,SX.Targ.Pcnt,Short,25.0,-206.25,1.0
MES,GAP,2015-12-04 08:29:00,2015-12-04 08:42:00,2449.0,2457.0,6.0,-240.0,2421.25,-0.024,0.242125,-0.024,0.21666666666666667,SE,SX.Stop1.C,Short,240.0,-45.0,0.0
MES,GAP,2015-12-09 08:29:00,2015-12-09 08:44:00,2450.0,2462.0,9.0,540.0,2961.25,0.054,0.296125,0.0,0.25,LE,LX.Targ.Pcnt,Long,22.5,-540.0,1.0
MES,GAP,2015-12-15 08:29:00,2015-12-15 14:59:00,2434.25,2439.0,1.0,-23.75,2937.5,-0.002375,0.29375,-0.002375,6.5,SE,SX.EOD,Short,73.75,-7.5,0.6154
MES,GAP,2015-12-29 08:29:00,2015-12-29 14:59:00,2465.0,2475.0,5.0,-250.0,2687.5,-0.025,0.26875,-0.027375,6.5,SE,SX.EOD,Short,318.75,-25.0,0.2
MES,GAP,2015-12-30 08:29:00,2015-12-30 09:21:00,2470.75,2466.5,18.0,-382.5,2305.0,-0.03825,0.2305,-0.065625,0.8666666666666667,LE,LX.Stop1.C,Long,405.0,-90.0,0.0455
MES,GAP,2015-12-31 08:29:00,2015-12-31 09:31:00,2450.75,2441.75,4.0,-180.0,2125.0,-0.018,0.2125,-0.083625,1.0333333333333334,LE,LX.Stop2.C,Long,185.0,-5.0,0.0263
MES,GAP,2016-01-05 08:29:00,2016-01-05 09:02:00,2412.0,2406.0,18.0,540.0,2665.0,0.054,0.2665,-0.029625,0.55,SE,SX.Targ.Pcnt,Short,382.5,-540.0,1.0
MES,GAP,2016-01-12 08:29:00,2016-01-12 13:17:00,2335.5,2310.0,1.0,127.5,2792.5,0.01275,0.27925,-0.016875,4.8,SE,SX.Targ.Pcnt,Short,40.0,-127.5,1.0
MES,GAP,2016-02-17 08:29:00,2016-02-17 09:30:00,2308.25,2321.5,2.0,-132.5,2660.0,-0.01325,0.266,-0.030125,1.0166666666666666,SE,SX.Stop2.C,Short,132.5,-10.0,0.0
MES,GAP,2016-02-18 08:29:00,2016-02-18 08:36:00,2328.75,2324.25,18.0,405.0,3065.0,0.0405,0.3065,0.0,0.11666666666666667,SE,SX.Targ.Pcnt,Short,135.0,-405.0,1.0
MES,GAP,2016-02-19 08:29:00,2016-02-19 14:59:00,2307.75,2316.0,3.0,123.75,3188.75,0.012375,0.318875,0.0,6.5,LE,LX.EOD,Long,90.0,-172.5,0.8143
MES,GAP,2016-02-23 08:29:00,2016-02-23 09:51:00,2337.0,2328.25,3.0,-131.25,3057.5,-0.013125,0.30575,-0.013125,1.3666666666666667,LE,LX.Stop2.C,Long,135.0,-52.5,0.02
MES,GAP,2016-02-24 08:29:00,2016-02-24 14:17:00,2303.25,2330.0,4.0,535.0,3592.5,0.0535,0.35925,0.0,5.8,LE,LX.Targ.Pcnt,Long,265.0,-535.0,1.0
MES,GAP,2016-02-25 08:29:00,2016-02-25 09:11:00,2335.5,2326.25,5.0,231.25,3823.75,0.023125,0.382375,0.0,0.7,SE,SX.Targ.Pcnt,Short,112.5,-231.25,1.0
MES,GAP,2016-02-26 08:29:00,2016-02-26 13:41:00,2364.0,2346.5,2.0,175.0,3998.75,0.0175,0.399875,0.0,5.2,SE,SX.Targ.Pcnt,Short,2.5,-175.0,1.0
MES,GAP,2016-03-10 08:29:00,2016-03-10 09:03:00,2399.0,2407.25,4.0,-165.0,3833.75,-0.0165,0.383375,-0.0165,0.5666666666666667,SE,SX.Stop2.C,Short,180.0,-120.0,0.05
MES,GAP,2016-03-15 08:29:00,2016-03-15 14:59:00,2411.0,2417.5,6.0,195.0,4028.75,0.0195,0.402875,0.0,6.5,LE,LX.EOD,Long,105.0,-240.0,0.8695999999999999
MES,GAP,2016-03-16 08:29:00,2016-03-16 13:01:00,2412.25,2422.0,4.0,195.0,4223.75,0.0195,0.422375,0.0,4.533333333333333,LE,LX.Targ.Pcnt,Long,0.0,-195.0,1.0
MES,GAP,2016-03-18 08:29:00,2016-03-18 10:19:00,2448.5,2454.75,6.0,-187.5,4036.25,-0.01875,0.403625,-0.01875,1.8333333333333333,SE,SX.Stop1.C,Short,195.0,-52.5,0.030299999999999997
MES,GAP,2016-03-22 08:29:00,2016-03-22 11:56:00,2444.75,2459.0,7.0,498.75,4535.0,0.049875,0.4535,0.0,3.45,LE,LX.Targ.Pcnt,Long,61.25,-498.75,1.0
MES,GAP,2016-03-23 08:29:00,2016-03-23 13:49:00,2449.0,2441.0,6.0,-240.0,4295.0,-0.024,0.4295,-0.024,5.333333333333333,LE,LX.Stop1.C,Long,247.5,-60.0,0.024399999999999998
MES,GAP,2016-03-24 08:29:00,2016-03-24 14:59:00,2428.0,2437.75,6.0,292.5,4587.5,0.02925,0.45875,0.0,6.5,LE,LX.EOD,Long,97.5,-322.5,0.9286
MES,GAP,2016-03-29 08:29:00,2016-03-29 11:21:00,2435.25,2442.75,6.0,225.0,4812.5,0.0225,0.48125,0.0,2.8666666666666667,LE,LX.Targ.Pcnt,Long,105.0,-225.0,1.0
MES,GAP,2016-03-30 08:29:00,2016-03-30 14:59:00,2470.5,2468.25,2.0,22.5,4835.0,0.00225,0.4835,0.0,6.5,SE,SX.EOD,Short,65.0,-65.0,0.6731
MES,GAP,2016-04-01 08:29:00,2016-04-01 10:41:00,2450.5,2469.75,2.0,192.5,5027.5,0.01925,0.50275,0.0,2.2,LE,LX.Targ.Pcnt,Long,27.5,-192.5,1.0
MES,GAP,2016-04-05 08:29:00,2016-04-05 14:59:00,2455.0,2447.75,1.0,-36.25,4991.25,-0.003625,0.499125,-0.003625,6.5,LE,LX.EOD,Long,38.75,-27.5,0.0377
MES,GAP,2016-04-07 08:29:00,2016-04-07 12:54:00,2459.5,2446.0,5.0,-337.5,4653.75,-0.03375,0.465375,-0.037375,4.416666666666667,LE,LX.Stop2.C,Long,343.75,-100.0,0.0141
MES,GAP,2016-04-22 08:29:00,2016-04-22 08:37:00,2495.25,2499.5,18.0,382.5,5036.25,0.03825,0.503625,0.0,0.13333333333333333,LE,LX.Targ.Pcnt,Long,180.0,-382.5,1.0
