Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
MNQ,Slow,2014-01-17 15:35:00,2014-01-21 15:35:00,5658.25,5682.0,2.0,95.0,95.0,0.0076,0.0038,0.0,96.0,LE.Slow.C,LX1.Slow.C,32.0,-106.0,0.9203
MNQ,Fast,2014-01-17 15:50:00,2014-01-21 15:00:00,5657.0,5681.25,2.0,97.0,192.0,0.00776,0.00768,0.0,95.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,27.0,-111.0,0.8986
MNQ,Slow,2014-01-27 15:35:00,2014-01-31 15:35:00,5576.75,5589.25,2.0,50.0,242.0,0.004,0.00968,0.0,96.0,LE.Slow.C,LX1.Slow.C,199.0,-133.0,0.75
MNQ,Fast,2014-01-27 15:50:00,2014-01-28 15:50:00,5551.5,5575.75,2.0,97.0,339.0,0.00776,0.01356,0.0,24.0,LE2.Fast.C,LX2.Fast.C,52.0,-110.0,0.9198000000000001
MNQ,Fast,2014-01-29 15:50:00,2014-01-30 15:50:00,5547.75,5575.75,2.0,112.0,451.0,0.00896,0.01804,0.0,24.0,LE2.Fast.C,LX2.Fast.C,16.0,-249.0,0.483
MNQ,Slow,2014-02-03 15:35:00,2014-02-06 15:35:00,5504.0,5561.5,2.0,230.0,681.0,0.0184,0.02724,0.0,72.0,LE.Slow.C,LX1.Slow.C,77.0,-272.0,0.8797
MNQ,Fast,2014-02-03 15:50:00,2014-02-04 15:50:00,5506.0,5526.0,2.0,80.0,761.0,0.0064,0.03044,0.0,24.0,LE2.Fast.C,LX2.Fast.C,7.0,-162.0,0.5147999999999999
MNQ,Slow,2014-03-14 15:20:00,2014-03-18 15:35:00,5701.0,5774.75,2.0,295.0,1056.0,0.0236,0.04224,0.0,96.25,LE.Slow.C,LX1.Slow.C,77.0,-324.0,0.9277
MNQ,Fast,2014-03-14 15:50:00,2014-03-17 15:00:00,5701.5,5735.75,2.0,137.0,1193.0,0.01096,0.04772,0.0,71.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,79.0,-205.0,0.7606
MNQ,Fast,2014-03-17 15:50:00,2014-03-18 15:50:00,5732.25,5776.75,2.0,178.0,1371.0,0.01424,0.05484,0.0,24.0,LE2.Fast.C,LX2.Fast.C,50.0,-199.0,0.9157
