Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
NQ,Slow,2014-01-17 15:35:00,2014-01-21 15:35:00,5648.0,5671.75,2.0,950.0,950.0,0.019,0.0095,0.0,96.0,LE.Slow.C,LX1.Slow.C,320.0,-1060.0,0.9203
NQ,Fast,2014-01-17 15:50:00,2014-01-21 15:00:00,5646.75,5671.0,2.0,970.0,1920.0,0.0194,0.0192,0.0,95.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,270.0,-1110.0,0.8986
NQ,Slow,2014-01-27 15:35:00,2014-01-31 15:35:00,5566.5,5579.0,2.0,500.0,2420.0,0.01,0.0242,0.0,96.0,LE.Slow.C,LX1.Slow.C,1990.0,-1330.0,0.75
NQ,Fast,2014-01-27 15:50:00,2014-01-28 15:50:00,5541.25,5565.5,2.0,970.0,3390.0,0.0194,0.0339,0.0,24.0,LE2.Fast.C,LX2.Fast.C,520.0,-1100.0,0.9198000000000001
NQ,Fast,2014-01-29 15:50:00,2014-01-30 15:50:00,5537.5,5565.5,2.0,1120.0,4510.0,0.0224,0.0451,0.0,24.0,LE2.Fast.C,LX2.Fast.C,160.0,-2490.0,0.483
NQ,Slow,2014-02-03 15:35:00,2014-02-06 15:35:00,5493.75,5551.25,2.0,2300.0,6810.0,0.046,0.0681,0.0,72.0,LE.Slow.C,LX1.Slow.C,770.0,-2720.0,0.8797
NQ,Fast,2014-02-03 15:50:00,2014-02-04 15:50:00,5495.75,5515.75,2.0,800.0,7610.0,0.016,0.0761,0.0,24.0,LE2.Fast.C,LX2.Fast.C,70.0,-1620.0,0.5147999999999999
NQ,Slow,2014-03-14 15:20:00,2014-03-18 15:35:00,5690.75,5764.5,2.0,2950.0,10560.0,0.059,0.1056,0.0,96.25,LE.Slow.C,LX1.Slow.C,770.0,-3240.0,0.9277
NQ,Fast,2014-03-14 15:50:00,2014-03-17 15:00:00,5691.25,5725.5,2.0,1370.0,11930.0,0.0274,0.1193,0.0,71.16666666666667,LE2.Fast.C,LX1.Open.Fast.C,790.0,-2050.0,0.7606
NQ,Fast,2014-03-17 15:50:00,2014-03-18 15:50:00,5722.0,5766.5,2.0,1780.0,13710.0,0.0356,0.1371,0.0,24.0,LE2.Fast.C,LX2.Fast.C,500.0,-1990.0,0.9157
NQ,Slow,2014-03-21 15:35:00,2014-03-31 15:35:00,5709.5,5649.5,2.0,-2400.0,11310.0,-0.048,0.1131,-0.024,240.0,LE.Slow.C,LX1.Slow.C,4190.0,-680.0,0.3676
NQ,Fast,2014-03-21 15:50:00,2014-03-25 15:50:00,5710.25,5692.25,2.0,-720.0,10590.0,-0.0144,0.1059,-0.0312,96.0,LE2.Fast.C,LX2.Fast.C,2610.0,-650.0,0.5798
NQ,Fast,2014-03-26 15:50:00,2014-03-28 15:00:00,5642.75,5628.25,2.0,-580.0,10010.0,-0.0116,0.1001,-0.037,47.166666666666664,LE1.Fast.C,LX.Gap.Fast.C,1520.0,-1120.0,0.35609999999999997
